pos,corr_resp,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate,,sequential rt,random rt,,,,
-150,z,0,0,0,0,5,0,20,3,,,,,61.2184986,62.2178895,62.2178895,62.2178895,62.2178895,62.2178895,63.2178996,63.2178996,z,1,0.3925571,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2865102,0.3925571,,,,
-50,x,0,0,0,0,5,1,21,0,,,,,63.6344202,64.6344529,64.6344529,64.6344529,64.6344529,64.6344529,65.6339717,65.6339717,x,1,0.3971202,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2793563,0.3971202,,,,
-150,z,0,0,0,0,5,2,22,3,,,,,66.0507139,67.050824,67.050824,67.050824,67.050824,67.050824,68.0507917,68.0507917,z,1,0.4468962,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.401589,0.4468962,,,,
-150,z,0,0,0,0,5,3,23,3,,,,,68.5171797,69.5173538,69.5173538,69.5173538,69.5173538,69.5173538,70.516916,70.516916,z,1,0.4016627,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2559497,0.4016627,,,,
-150,z,0,0,0,0,6,0,24,3,,,,,70.9504527,71.9502549,71.9502549,71.9502549,71.9502549,71.9502549,72.9498063,72.9498063,z,1,0.4115533,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3394705,0.4115533,,,,
-150,z,0,0,0,0,6,1,25,3,,,,,73.3828404,74.3831319,74.3831319,74.3831319,74.3831319,74.3831319,75.3827194,75.3827194,z,1,0.3856013,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3216575,0.3856013,,,,
-150,z,0,0,0,0,6,2,26,3,,,,,75.7996547,76.7991675,76.7991675,76.7991675,76.7991675,76.7991675,77.799066,77.799066,z,1,0.3312617,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3475908,0.3312617,,,,
150,v,0,0,0,0,6,3,27,1,,,,,78.1493626,79.1493909,79.1493909,79.1493909,79.1493909,79.1493909,80.1491898,80.1491898,v,1,0.5392308,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.243517,0.5392308,,,,
-150,z,0,0,0,0,7,0,28,3,,,,,80.7156045,81.7155708,81.7155708,81.7155708,81.7155708,81.7155708,82.7150275,82.7150275,z,1,0.458269,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2858087,0.458269,,,,
150,v,0,0,0,0,7,1,29,1,,,,,83.1984956,84.1986781,84.1986781,84.1986781,84.1986781,84.1986781,85.1983814,85.1983814,v,1,0.4079708,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3162461,0.4079708,,,,
-50,x,0,0,0,0,7,2,30,0,,,,,85.631497,86.6318041,86.6318041,86.6318041,86.6318041,86.6318041,87.6315289,87.6315289,x,1,0.6432373,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.0515761,0.6432373,,,,
-150,z,0,0,0,0,7,3,31,3,,,,,88.2979718,89.2980744,89.2980744,89.2980744,89.2980744,89.2980744,90.2980502,90.2980502,z,1,0.4162002,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2829742,0.4162002,,,,
-50,x,0,0,0,0,8,0,32,0,,,,,90.7310515,91.7306921,91.7306921,91.7306921,91.7306921,91.7306921,92.7307494,92.7307494,x,1,0.4929874,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.809671,0.4929874,,,,
-50,x,0,0,0,0,8,1,33,0,,,,,93.2471571,94.2470285,94.2470285,94.2470285,94.2470285,94.2470285,95.2470152,95.2470152,x,1,0.3678063,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2626772,0.3678063,,,,
150,v,0,0,0,0,8,2,34,1,,,,,95.6472197,96.6472237,96.6472237,96.6472237,96.6472237,96.6472237,97.6467474,97.6467474,v,1,0.4956365,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3084273,0.4956365,,,,
50,c,0,0,0,0,8,3,35,2,,,,,98.1633105,99.1635114,99.1635114,99.1635114,99.1635114,99.1635114,100.1629464,100.1629464,c,1,0.5264947,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.1053045,0.5264947,,,,
50,c,0,0,0,0,9,0,36,2,,,,,100.7127803,101.7130952,101.7130952,101.7130952,101.7130952,101.7130952,102.7127624,102.7127624,c,1,0.5796299,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2442012,0.5796299,,,,
-50,x,0,0,0,0,9,1,37,0,,,,,103.3125115,104.3124549,104.3124549,104.3124549,104.3124549,104.3124549,105.3122039,105.3122039,x,1,0.6458091,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.2093998,0.6458091,,,,
50,c,0,0,0,0,9,2,38,2,,,,,105.9789182,106.9787556,106.9787556,106.9787556,106.9787556,106.9787556,107.9788431,107.9788431,c,1,0.5028311,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3299132,0.5028311,,,,
50,c,0,0,0,0,9,3,39,2,,,,,108.5119665,109.5121887,109.5121887,109.5121887,109.5121887,109.5121887,110.5117143,110.5117143,c,1,0.3845274,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,0.3269554,0.3845274,,,,
-50,x,0,0,0,0,10,0,40,0,,,,,110.9281871,111.9283576,111.9283576,111.9283576,111.9283576,111.9283576,112.9283952,112.9283952,x,1,0.3422532,None,,sushreesanjana,1,2023-10-16_14h51.24.232,sequential learning,2023.1.3,59.95153518,,1.0811995,0.3422532,,,,
